,,,,Marketwise Price & Arrival Report (24-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 24 Mar, 2026","Price on 23 Mar, 2026","Price on 22 Mar, 2026","Arrival on 24 Mar, 2026","Arrival on 23 Mar, 2026","Arrival on 22 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2417.13,2185.95,1860.86,1335.59,1048.30,710.30
Cereals,Barley(Jau),2150.00,1986.74,1859.54,1980.98,3233.67,3576.89,157.50
Cereals,Jowar(Sorghum),3699.00,4182.98,4685.84,3572.39,617.46,358.40,33.50
Cereals,Maize,2400.00,1713.27,1771.93,1726.89,19077.82,23125.22,4372.07
Cereals,Paddy(Common),2369.00,2845.51,3040.08,2502.24,20329.07,19534.79,6033.09
Cereals,Ragi(Finger Millet),4886.00,3196.24,3169.27,3214.12,275.10,502.60,367.70
Cereals,Wheat,2585.00,2364.07,2336.02,2310.54,94273.66,101119.96,9315.64
Fibre Crops,Cotton,7710.00,7562.40,7717.31,6914.26,3413.33,5891.81,398.34
Oil Seeds,Copra,12100.00,23045.48,19112.89,19800.00,117.90,71.75,4.50
Oil Seeds,Groundnut,7263.00,6989.20,7406.40,5181.16,954.33,5127.83,50.58
Oil Seeds,Mustard,6200.00,6396.71,6474.12,6638.91,23790.11,29813.44,1908.76
Oil Seeds,Niger Seed(Ramtil),9537.00,9100.00,-,-,2.00,-,-
Oil Seeds,Safflower,6540.00,4913.66,4878.12,4727.00,8.70,59.10,4.90
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9911.43,8016.91,8821.03,51.22,113.39,33.55
Oil Seeds,Soyabean,5328.00,5362.31,5375.39,4880.41,12037.54,11756.12,448.44
Oil Seeds,Sunflower,7721.00,7117.24,7240.40,6841.15,829.00,1396.50,429.00
Oil Seeds,Sunflower Seed,6760.00,-,5951.00,-,-,53.00,-
Others,Sugarcane,285.00,-,328.04,-,-,107.00,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7384.83,7325.24,8242.72,1648.22,2926.66,674.40
Pulses,Bengal Gram(Gram)(Whole),5875.00,5262.58,5242.92,5251.94,11485.73,13523.30,1361.37
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8302.73,8232.83,8764.12,376.46,407.08,132.11
Pulses,Green Gram(Moong)(Whole),8768.00,8017.64,7318.40,5453.75,637.49,480.77,12.00
Pulses,Lentil(Masur)(Whole),7000.00,6847.75,6893.64,6203.53,2237.34,2670.97,35.41
Vegetables,Onion,-,1128.16,1119.87,1323.19,16691.43,18866.23,1827.91
Vegetables,Potato,-,773.56,717.53,765.21,15197.17,13785.04,3741.88
Vegetables,Tomato,-,1337.98,1257.81,1294.98,3630.13,3641.65,1524.14
